Date,S&P500,NASDAQ,DowJones,CAC40,DAX,FTSE100,Nikkei225,HangSeng,MSCIWorld,US10Y,US2Y,TLT,IEF,BND,LQD,Apple,Microsoft,Google,Amazon,Meta
2016-06-13,2079.06005859375,4848.43994140625,17732.48046875,4227.02001953125,9657.4404296875,6045.0,16019.1796875,20512.990234375,58.5591926574707,1.6160000562667847,0.24500000476837158,105.14946746826172,90.87105560302734,63.63029479980469,87.2874755859375,22.222110748291016,44.61094284057617,36.34333801269531,35.762001037597656,113.25182342529297
2016-06-14,2075.320068359375,4843.5498046875,17674.8203125,4130.330078125,9519.2001953125,5923.5,15859.0,20387.529296875,58.09736633300781,1.6109999418258667,0.2630000114440918,105.07183837890625,90.84663391113281,63.62266159057617,87.0923080444336,22.249500274658203,44.33514404296875,36.4113655090332,35.96500015258789,114.23577880859375
2016-06-15,2071.5,4834.93017578125,17640.169921875,4171.580078125,9606.7099609375,5966.7998046875,15919.580078125,20467.51953125,58.24850845336914,1.5959999561309814,0.2549999952316284,105.47572326660156,91.12332153320312,63.767459869384766,87.41757202148438,22.176448822021484,44.210567474365234,36.358734130859375,35.7130012512207,113.8978500366211
2016-06-16,2077.989990234375,4844.919921875,17733.099609375,4153.009765625,9550.4697265625,5950.5,15434.1396484375,20038.419921875,58.33248519897461,1.5640000104904175,0.24500000476837158,105.98836517333984,91.22093963623047,63.836036682128906,87.5477066040039,22.270048141479492,44.8333854675293,35.96445083618164,35.8754997253418,113.68912506103516
2016-06-17,2071.219970703125,4800.33984375,17675.16015625,4193.830078125,9631.3603515625,6021.10009765625,15599.66015625,20169.98046875,58.4752197265625,1.6180000305175781,0.24799999594688416,105.3281021118164,90.91173553466797,63.74454879760742,87.2874755859375,21.763235092163086,44.60205841064453,34.97129821777344,35.31949996948242,112.3275375366211
2016-06-20,2083.25,4837.2099609375,17804.869140625,4340.759765625,9962.01953125,6204.0,15965.2998046875,20510.19921875,59.32328796386719,1.6699999570846558,0.24799999594688416,104.20191955566406,90.52116394042969,63.599769592285156,87.17903900146484,21.710731506347656,44.54866027832031,35.06465530395508,35.70050048828125,112.6753921508789
2016-06-21,2088.89990234375,4843.759765625,17829.73046875,4367.240234375,10015.5400390625,6226.60009765625,16169.1103515625,20668.439453125,59.51642608642578,1.6970000267028809,0.26499998569488525,103.72034454345703,90.31765747070312,63.51596450805664,87.09952545166016,21.895654678344727,45.545162200927734,35.201210021972656,35.79100036621094,113.67919921875
2016-06-22,2085.449951171875,4833.31982421875,17780.830078125,4380.02978515625,10071.0595703125,6261.2001953125,16065.7197265625,20795.119140625,59.43060302734375,1.684999942779541,0.2680000066757202,103.89125061035156,90.49671173095703,63.5388298034668,87.25853729248047,21.81346321105957,45.36722183227539,35.28017044067383,35.529998779296875,113.21208953857422
2016-06-23,2113.320068359375,4910.0400390625,18011.0703125,4465.89990234375,10257.0302734375,6338.10009765625,16238.349609375,20868.33984375,60.71352005004883,1.7389999628067017,0.2750000059604645,102.702880859375,90.0654296875,63.42450714111328,87.17182159423828,21.93902015686035,46.18577194213867,35.498661041259766,36.104000091552734,114.37490844726562
2016-06-24,2037.4100341796875,4707.97998046875,17400.75,4106.72998046875,9557.16015625,6138.7001953125,14952.01953125,20259.130859375,57.323577880859375,1.5789999961853027,0.23800000548362732,105.46012115478516,91.31046295166016,63.78266143798828,87.58384704589844,21.322633743286133,44.33514404296875,34.025325775146484,34.948001861572266,111.39330291748047
