Date,ARIMA_Return_Forecast
2010-03-15,
2010-03-16,-0.5752082453136196
2010-03-17,-0.45965448516260954
2010-03-18,-0.006914223783668821
2010-03-19,-0.06957917371543729
2010-03-22,-0.17916761530749825
2010-03-23,-0.07860402685401835
2010-03-24,0.11910448542631535
2010-03-25,0.12744830031653037
2010-03-26,0.020484835200556217
2010-03-29,0.14293917735761374
2010-03-30,0.14194740217116703
2010-03-31,0.2308777049836771
2010-04-01,0.169062564186582
2010-04-02,0.19462778688190263
2010-04-05,0.2035162923399898
2010-04-06,0.19448267675033926
2010-04-07,0.1975233049828072
2010-04-08,0.1939391165267681
2010-04-09,0.1733859385472293
2010-04-12,0.18833666200020618
2010-04-14,0.1737261214446022
2010-04-15,0.21090800316283254
2010-04-21,0.2227383792692046
2010-04-22,0.3486479932826141
2010-04-23,0.37815209460881327
2010-04-26,0.43514821966061557
2010-04-27,0.3945742929900914
2010-04-28,0.33675308332811094
2010-04-30,0.31780353635492475
2010-05-03,0.22707444184344183
2010-05-07,0.2838948642975152
2010-05-10,0.14261914038536894
2010-05-11,0.29546835755474143
2010-05-12,0.20104657435197248
2010-05-13,0.32392917840690594
2010-05-14,0.22716159231009914
2010-05-18,0.25217689947278776
2010-05-19,0.19329215223629903
2010-05-20,0.17632555045895337
2010-05-26,0.10070784703806623
2010-05-27,0.10532458570796477
2010-05-28,0.11614920090888115
2010-05-31,0.13006487643760245
2010-06-01,0.16756368465067495
2010-06-03,0.1510491544273601
2010-06-04,0.1606016178164807
2010-06-07,0.11203557182441903
2010-06-08,0.10302631270395302
2010-06-09,0.07095142826460898
2010-06-10,0.04098575476754274
2010-06-11,0.08140199832005846
2010-06-16,0.051464025488456855
2010-06-17,0.12171754250645717
2010-06-18,0.1044998006195017
2010-06-21,0.14168173195713502
2010-06-22,0.11224648099150902
2010-06-23,0.14369946606683637
2010-06-24,0.09844302002501071
2010-06-25,0.12380679066991962
2010-06-28,0.08712975632880704
2010-06-29,0.10503167074910574
2010-06-30,0.04187389740309655
2010-07-02,0.06549756497828962
2010-07-05,0.008725658134018766
2010-07-06,0.0334514027969266
2010-07-07,0.011221387411967154
2010-07-08,0.06173612761919234
2010-07-12,0.024252022160222486
2010-07-14,0.06793803260679387
2010-07-15,0.04042368354410303
2010-07-16,0.04352172416755207
2010-07-26,0.03764903464883668
2010-08-02,0.03372339894286849
2010-08-03,0.04287305796490304
2010-08-04,0.03134311924817046
2010-08-06,0.052535121549235786
2010-08-09,0.03260724811617993
2010-08-10,0.05086865737723095
2010-08-11,0.025764001757356603
2010-08-12,0.02092211202071681
2010-08-13,0.02500994420108671
2010-08-16,-0.014074141968566156
2010-08-17,0.011225444117322902
2010-08-19,-0.001340930089057224
2010-08-20,-0.010422476053205454
2010-08-23,0.008844393252593397
2010-08-24,-0.022960579125804292
2010-08-25,-0.01685228237359926
2010-08-26,-0.020944373602257538
2010-08-27,-0.04607278443134144
2010-08-30,-0.01648971481196415
2010-08-31,-0.042377909063305075
2010-09-01,-0.02231311736014889
2010-09-02,-0.01629233097286087
2010-09-03,-0.021489441709752644
2010-09-06,0.015930116889651513
2010-09-07,-0.010599527880768678
2010-09-08,0.025109570624163774
2010-09-09,0.009679071675103401
2010-09-10,0.013230277105985122
2010-09-13,0.025261678622527938
2010-09-14,0.0236355674660913
2010-09-15,0.022565764169334535
2010-09-16,0.03520751454709092
2010-09-17,0.038247665182429724
2010-09-21,0.03250026250535354
2010-09-22,0.0542671138189241
2010-09-23,0.042130292527032265
2010-09-27,0.047304986116692205
2010-09-28,0.05009162376403198
2010-09-29,0.04416940909103151
2010-09-30,0.04822884582156328
2010-10-01,0.026888522786606806
2010-10-04,0.041622789387375014
2010-10-05,0.017011580438881513
2010-10-06,0.04755585286506259
2010-10-07,0.0063266221896405295
2010-10-08,0.057910409057630396
2010-10-11,0.032609928400397226
2010-10-12,0.04327077161185733
2010-10-14,0.05099892835969044
2010-10-15,0.0475802431370147
2010-10-18,0.0703906279640889
2010-10-19,0.0510862976873836
2010-10-20,0.07837991891084184
2010-10-26,0.07785059754587942
2010-10-27,0.05410603954133958
2010-10-28,0.07008651406503377
2010-10-29,0.05385248884848848
2010-11-02,0.0593123409893721
2010-11-03,0.05912772586680792
2010-11-04,0.04543708531849189
2010-11-05,0.06768453263614516
2010-11-08,0.05362853382639893
2010-11-09,0.0767912260304281
2010-11-10,0.05392161553258312
2010-11-11,0.07485937593640507
2010-11-16,0.050839761281073426
2010-11-18,0.06420614675291425
2010-11-19,0.06658618849164055
2010-11-22,0.03890616642377609
2010-11-23,0.08350140485668334
2010-11-25,0.037906809000665564
2010-11-29,0.08628895808746528
2010-11-30,0.04579972276824873
2010-12-02,0.06166420481635071
2010-12-03,0.06357186917007307
2010-12-06,0.044649616388808155
2010-12-07,0.06257265880625734
2010-12-08,0.04355959200080217
2010-12-09,0.06532035543368919
2010-12-10,0.04164158236582172
2010-12-13,0.063733928624953
2010-12-14,0.04610212978021662
2010-12-15,0.05492750049568801
2010-12-16,0.05265778315187805
2010-12-20,0.05030158347995331
2010-12-21,0.051046118376884886
2010-12-28,0.0512835790703835
2010-12-29,0.05196351476499356
2010-12-30,0.053904604281833524
2010-12-31,0.052210123936707986
2011-01-03,0.052727178160620725
2011-01-04,0.05470139545515562
2011-01-05,0.04243763869948192
2011-01-07,0.06525727188209085
2011-01-10,0.05264269872122723
2011-01-11,0.06732457279554405
2011-01-12,0.054252667352949646
2011-01-13,0.07827721380681624
2011-01-14,0.058145612788927464
2011-01-17,0.07586670913268723
