,OECD_CPI_2015idx_USA,OECD_Unemp_rate_pct_USA
2010-01-01,91.76641100751365,9.8
2010-01-02,91.76641100751365,9.8
2010-01-03,91.76641100751365,9.8
2010-01-04,91.76641100751365,9.8
2010-01-05,91.76641100751365,9.8
2010-01-06,91.76641100751365,9.8
2010-01-07,91.76641100751365,9.8
2010-01-08,91.76641100751365,9.8
2010-01-09,91.76641100751365,9.8
2010-01-10,91.76641100751365,9.8
2010-01-11,91.76641100751365,9.8
2010-01-12,91.76641100751365,9.8
2010-01-13,91.76641100751365,9.8
2010-01-14,91.76641100751365,9.8
2010-01-15,91.76641100751365,9.8
2010-01-16,91.76641100751365,9.8
2010-01-17,91.76641100751365,9.8
2010-01-18,91.76641100751365,9.8
2010-01-19,91.76641100751365,9.8
2010-01-20,91.76641100751365,9.8
2010-01-21,91.76641100751365,9.8
2010-01-22,91.76641100751365,9.8
2010-01-23,91.76641100751365,9.8
2010-01-24,91.76641100751365,9.8
2010-01-25,91.76641100751365,9.8
2010-01-26,91.76641100751365,9.8
2010-01-27,91.76641100751365,9.8
2010-01-28,91.76641100751365,9.8
2010-01-29,91.76641100751365,9.8
2010-01-30,91.76641100751365,9.8
2010-01-31,91.76641100751365,9.8
2010-02-01,91.76641100751365,9.8
2010-02-02,91.76641100751365,9.8
2010-02-03,91.76641100751365,9.8
2010-02-04,91.76641100751365,9.8
2010-02-05,91.76641100751365,9.8
2010-02-06,91.76641100751365,9.8
2010-02-07,91.76641100751365,9.8
2010-02-08,91.76641100751365,9.8
2010-02-09,91.76641100751365,9.8
2010-02-10,91.76641100751365,9.8
2010-02-11,91.76641100751365,9.8
2010-02-12,91.76641100751365,9.8
2010-02-13,91.76641100751365,9.8
2010-02-14,91.76641100751365,9.8
2010-02-15,91.76641100751365,9.8
2010-02-16,91.76641100751365,9.8
2010-02-17,91.76641100751365,9.8
2010-02-18,91.76641100751365,9.8
2010-02-19,91.76641100751365,9.8
2010-02-20,91.76641100751365,9.8
2010-02-21,91.76641100751365,9.8
2010-02-22,91.76641100751365,9.8
2010-02-23,91.76641100751365,9.8
2010-02-24,91.76641100751365,9.8
2010-02-25,91.76641100751365,9.8
2010-02-26,91.76641100751365,9.8
2010-02-27,91.76641100751365,9.8
2010-02-28,91.6790698802857,9.8
2010-03-01,91.6790698802857,9.8
2010-03-02,91.6790698802857,9.8
2010-03-03,91.6790698802857,9.8
2010-03-04,91.6790698802857,9.8
2010-03-05,91.6790698802857,9.8
2010-03-06,91.6790698802857,9.8
2010-03-07,91.6790698802857,9.8
2010-03-08,91.6790698802857,9.8
2010-03-09,91.6790698802857,9.8
2010-03-10,91.6790698802857,9.8
2010-03-11,91.6790698802857,9.8
2010-03-12,91.6790698802857,9.8
2010-03-13,91.6790698802857,9.8
2010-03-14,91.6790698802857,9.8
2010-03-15,91.6790698802857,9.8
2010-03-16,91.6790698802857,9.8
2010-03-17,91.6790698802857,9.8
2010-03-18,91.6790698802857,9.8
2010-03-19,91.6790698802857,9.8
2010-03-20,91.6790698802857,9.8
2010-03-21,91.6790698802857,9.8
2010-03-22,91.6790698802857,9.8
2010-03-23,91.6790698802857,9.8
2010-03-24,91.6790698802857,9.8
2010-03-25,91.6790698802857,9.8
2010-03-26,91.6790698802857,9.8
2010-03-27,91.6790698802857,9.8
2010-03-28,91.6790698802857,9.8
2010-03-29,91.6790698802857,9.8
2010-03-30,91.6790698802857,9.8
2010-03-31,91.70944940279978,9.9
2010-04-01,91.70944940279978,9.9
2010-04-02,91.70944940279978,9.9
2010-04-03,91.70944940279978,9.9
2010-04-04,91.70944940279978,9.9
2010-04-05,91.70944940279978,9.9
2010-04-06,91.70944940279978,9.9
2010-04-07,91.70944940279978,9.9
2010-04-08,91.70944940279978,9.9
2010-04-09,91.70944940279978,9.9
2010-04-10,91.70944940279978,9.9
2010-04-11,91.70944940279978,9.9
2010-04-12,91.70944940279978,9.9
2010-04-13,91.70944940279978,9.9
2010-04-14,91.70944940279978,9.9
2010-04-15,91.70944940279978,9.9
2010-04-16,91.70944940279978,9.9
2010-04-17,91.70944940279978,9.9
2010-04-18,91.70944940279978,9.9
2010-04-19,91.70944940279978,9.9
2010-04-20,91.70944940279978,9.9
2010-04-21,91.70944940279978,9.9
2010-04-22,91.70944940279978,9.9
2010-04-23,91.70944940279978,9.9
2010-04-24,91.70944940279978,9.9
2010-04-25,91.70944940279978,9.9
2010-04-26,91.70944940279978,9.9
2010-04-27,91.70944940279978,9.9
2010-04-28,91.70944940279978,9.9
2010-04-29,91.70944940279978,9.9
2010-04-30,91.73054629343453,9.9
2010-05-01,91.73054629343453,9.9
2010-05-02,91.73054629343453,9.9
2010-05-03,91.73054629343453,9.9
2010-05-04,91.73054629343453,9.9
2010-05-05,91.73054629343453,9.9
2010-05-06,91.73054629343453,9.9
2010-05-07,91.73054629343453,9.9
2010-05-08,91.73054629343453,9.9
2010-05-09,91.73054629343453,9.9
2010-05-10,91.73054629343453,9.9
2010-05-11,91.73054629343453,9.9
2010-05-12,91.73054629343453,9.9
2010-05-13,91.73054629343453,9.9
2010-05-14,91.73054629343453,9.9
2010-05-15,91.73054629343453,9.9
2010-05-16,91.73054629343453,9.9
2010-05-17,91.73054629343453,9.9
2010-05-18,91.73054629343453,9.9
2010-05-19,91.73054629343453,9.9
2010-05-20,91.73054629343453,9.9
2010-05-21,91.73054629343453,9.9
2010-05-22,91.73054629343453,9.9
2010-05-23,91.73054629343453,9.9
2010-05-24,91.73054629343453,9.9
2010-05-25,91.73054629343453,9.9
