Feature,ANOVA_F_score,p_value,Selected
HangSeng,5.8436439603403025,0.015676959894205793,True
LQD,5.466498099653782,0.019432476521646234,True
US10Y,4.3686386088819456,0.03666795472864359,True
BND,3.4874622129707658,0.0619069224723075,True
ARIMA_Return_Forecast,2.716122192197657,0.09941604751882566,True
IEF,2.43378767066293,0.11882318769960266,True
MA20,2.430988256211702,0.11903540263358302,True
TLT,1.7500318862047057,0.18594682513809221,True
Imports_GDP_Pct,1.7185439981987651,0.18995431495448137,True
Nikkei225,1.4406386599975585,0.23010567056608905,True
Exports_GDP_Pct,1.184193220802321,0.27656823418947846,True
Recession_Probability,1.1391237348242438,0.2859006794508564,True
Inflation_Annual_Pct,0.9264429614893952,0.33584594101422005,True
Fed_Funds_Rate,0.7903957944056472,0.3740328595899798,True
Volatility_20d,0.7736304521892342,0.3791480559283017,True
Yield_Curve_Spread,0.6861366064684219,0.4075300081448401,True
Meta,0.5530572416405102,0.4571139925958876,True
MSCIWorld,0.5429535587770805,0.46125359368381624,True
OECD_Unemp_rate_pct_USA,0.5354297914708804,0.46437497013191753,True
Unemployment_Rate,0.5091449103586887,0.4755500446592683,True
