Date,S&P500,NASDAQ,DowJones,CAC40,DAX,FTSE100,Nikkei225,HangSeng,MSCIWorld,US10Y,US2Y,TLT,IEF,BND,LQD,Apple,Microsoft,Google,Amazon,Meta
2010-01-05,0.0031156756258232665,0.00012564397826908547,-0.0011281627794860194,-0.00026409230798607464,-0.0027181095410496736,0.004036179135831874,0.002537829367201594,0.020908900767967475,0.0,-0.022389993198149605,0.09090907243657687,0.006457507470288837,0.004391136236756132,0.0029226316400881025,0.004775872462298381,0.0017292305488680881,0.00032267337488645076,-0.004403604187816712,0.0058998892697967875,0.0
2010-01-06,0.0005455206301101523,-0.003300489526965489,0.00015703302903413707,0.0011861740905922957,0.0004095278901929955,0.0013580805794477513,0.004645282393053174,0.006153161023200848,0.0,0.01411450643990464,-0.24999995343387027,-0.013386359335891385,-0.00403650180500037,-0.00038037189056328025,-0.0029465687704264276,-0.015906511006928525,-0.0061366478694969695,-0.025208743050174398,-0.018115634693665172,0.0
2010-01-07,0.00400120187417663,-0.00045197668182273,0.003138043239736543,0.0017746920707208957,-0.0024808412284270664,-0.0005967097084086381,-0.004639637528602414,-0.0065674653567225905,0.0,0.0036764544753884465,0.0,0.0016819583266913796,0.0,-0.000760803198364246,0.00123927417722558,-0.0018485776111318852,-0.0104000527525685,-0.023279562997289727,-0.0170132608680289,0.0
2010-01-08,0.0028817272914287706,0.007443261095817277,0.0010681839629698153,0.005053628379855013,0.0030318838571734563,0.0013570484620029077,0.010921537901740885,0.0012259297920584888,0.0,-0.0036629876679831197,-0.11111116630059481,-0.0004480507578938919,0.0012386680868035072,0.0010153301031561313,0.0021894364880288286,0.006648373917444994,0.006896630337747345,0.013331134761475072,0.027076941270094634,0.0
2010-01-11,0.0017467554316374923,-0.0020542342280074344,0.004313334272047609,-0.0005067327068862815,0.0004786888825538682,0.0007046912301895691,0.007484435875081852,0.005147365927769654,0.0,0.0026260478552659894,-0.3749999767169351,-0.005487173871970619,0.0006741554613545198,0.0003801900950475279,0.0010454216669173455,-0.008821504086922838,-0.012720027050285299,-0.0015116149147619273,-0.024041349123433142,0.0
2010-01-12,-0.009381166148364262,-0.013016659960676247,-0.0034443456851264154,-0.010645332685365716,-0.016141047926496177,-0.0071143355390821394,0.0,-0.003787289216674816,0.0,-0.025929799655335928,0.5999999403953562,0.017116478461007834,0.007190030361762467,0.003801452342863554,0.0018982791309745117,-0.011375454000001395,-0.006607211543244729,-0.017683867028524203,-0.022715100723843973,0.0
2010-01-13,0.008325925658531075,0.01121225560639516,0.005035142341968779,0.00020251211456390195,0.003388883849697155,-0.004582936770035628,-0.01324639444449982,-0.025890192140135326,0.0,0.017208897429817016,0.25000004656612984,-0.011625173631078733,-0.004795864159815033,-0.00227263062396299,-0.004167544487894248,0.014105866599676942,0.009312163204750368,-0.005741063144871328,0.013820227706130561,0.0
2010-01-14,0.0024264254383745687,0.0038303601822797795,0.002788214215311724,0.0037266766917734007,0.004316475129479969,0.004512687551383898,0.016082806444402742,-0.0014552840731573147,0.0,-0.012952689636360981,-0.09999997764825852,0.014002728229511652,0.0047058967388031725,0.002404067256033038,0.003614086129545724,-0.00579138266713819,0.020098091732015932,0.004701082535903511,-0.013631832674516842,0.0
2010-01-15,-0.010823130159869354,-0.012409679170380938,-0.009420563454019981,-0.015287264066460637,-0.01885321966346154,-0.007784418800399373,0.006822708770984898,-0.0028912469181348044,0.0,-0.015532900327560606,0.22222216703273845,0.006186541178937244,0.004461649193666428,0.0006305494169440706,-0.0003786513797378044,-0.016712463649949383,-0.003229732232866156,-0.016699106558539456,-0.001648991677534517,0.0
2010-01-18,0.012499626599363545,0.014165233347919859,0.010912640154222775,0.005836585965176555,0.007246393069894497,0.00714888013676962,-0.011566051644766429,-0.00896596262445959,0.0,0.00843305166302133,-0.09090907243657698,-0.0028544977677653627,-0.001775808775776433,-0.0005049608455084398,0.0008526896582723431,0.044238690117543555,0.00777700258064562,0.013137795750417736,0.0036967069581697043,0.0
2010-01-19,0.0,0.0,0.0,0.00809812323790382,0.009787900362918212,0.0034035009545851924,-0.00830760223332938,0.01015706448904563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,-0.010597829662970737,-0.012562447668743149,-0.01140087627608155,-0.020131325589358928,-0.020906988013151495,-0.016741994764069124,-0.002543531141156241,-0.01807412583657486,0.0,-0.012948502037362974,0.0,0.010129764708745936,0.003448451573856204,0.0023976958671669824,-0.0006627592315688879,-0.015392630107454175,-0.016398803701160314,-0.01226989618518548,-0.014340538789756496,0.0
2010-01-21,-0.01894490338978838,-0.011151139695853796,-0.020113881248073895,-0.01699946293349419,-0.017868758111381333,-0.01580942114061168,0.012190024392417786,-0.019895547275735392,0.0,-0.013118300056597532,-0.2000000298023219,0.004578430701606351,0.0036585292824866666,0.001133883627187915,0.002654721127805182,-0.017286351906243835,-0.01896042427031086,0.004428069993110517,0.006678298086381096,0.0
2010-01-22,-0.022140988764300484,-0.026662803288727388,-0.020876027106079165,-0.010714181637782039,-0.008987412270137218,-0.006016775143610098,-0.025565869116810358,-0.006542318643113165,0.0,-0.003600113881018663,0.12500006984919465,-0.001736128264958614,0.0008838224278846507,-0.000377862720830624,-0.0015129944381174765,-0.04959859692890223,-0.03498830633158989,-0.0565542695963176,-0.040988790522968555,0.0
