Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
Cleaned_Features_for_ML_20ANOVA,LR,0.5140758873929009,0.5223880597014925,0.819672131147541,0.6381039197812215,0.7359125315391085,0.5190776436678076,0.14769291877746582,70,320,77,350
Cleaned_Features_for_ML_20ANOVA,KNN,0.48714810281517745,0.5108108108108108,0.4426229508196721,0.4742785445420326,0.45476419634263715,0.476484717468324,1.6481645107269287,209,181,238,189
Cleaned_Features_for_ML_20ANOVA,CART,0.4920440636474908,0.5263157894736842,0.2810304449648712,0.366412213740458,0.30991735537190085,0.5109319642106528,0.05648922920227051,282,108,307,120
Cleaned_Features_for_ML_20ANOVA,SVC,0.5238678090575275,0.5233990147783252,0.9953161592505855,0.6860371267150929,0.8432539682539683,0.4818050801657359,2.7334389686584473,3,387,2,425
Cleaned_Features_for_ML_20ANOVA,MLP,0.5128518971848225,0.5446153846153846,0.41451990632318503,0.47074468085106386,0.4353172651254304,0.5164895214075541,3.9799118041992188,242,148,250,177
Cleaned_Features_for_ML_20ANOVA,ABR,0.4944920440636475,0.5147679324894515,0.5714285714285714,0.5416204217536071,0.5591200733272227,0.488740767429292,2.3124992847442627,160,230,183,244
Cleaned_Features_for_ML_20ANOVA,GBR,0.5042839657282742,0.5275,0.49414519906323184,0.5102781136638452,0.5004743833017078,0.5030084669428931,5.007800340652466,201,189,216,211
Cleaned_Features_for_ML_20ANOVA,RFR,0.5018359853121175,0.52,0.6088992974238876,0.5609492988133765,0.5887681159420289,0.5053653996276948,3.620089054107666,150,240,167,260
Cleaned_Features_for_ML_20ANOVA,ETR,0.5189718482252142,0.5338645418326693,0.6276346604215457,0.5769644779332616,0.6063348416289592,0.5077373446225905,1.3948931694030762,156,234,159,268
Cleaned_Features_for_ML_20ANOVA,Tuned SVM,0.5336597307221542,0.5388513513513513,0.747072599531616,0.6261040235525025,0.6934782608695652,0.47877259352669194,2.732051372528076,117,273,108,319
Cleaned_Features_for_ML_20ANOVA,Tuned Decision Tree,0.4773561811505508,0.5,0.4262295081967213,0.46017699115044247,0.4391891891891892,0.49064132588722753,0.03679466247558594,208,182,245,182
Cleaned_Features_for_ML_20ANOVA,Bagging SVM,0.5287637698898409,0.5265822784810127,0.9742388758782201,0.6836483155299918,0.8326661329063251,0.4937368642286675,18.020840883255005,16,374,11,416
Cleaned_Features_for_ML_20ANOVA,Bagging Decision Tree,0.49571603427172584,0.518796992481203,0.4847775175644028,0.5012106537530266,0.49121974371143806,0.5105176244520507,2.0290164947509766,198,192,220,207
Cleaned_Features_for_ML_20ANOVA,Voting (SVM + DT),0.4724602203182375,0.495260663507109,0.4894613583138173,0.4923439340400471,0.49061032863849763,0.4581757040773434,2.79710054397583,177,213,218,209
Cleaned_Features_for_ML_20ANOVA,Stacking Meta-Model,0.5324357405140759,0.533532041728763,0.8384074941451991,0.6520947176684881,0.7524169819251787,0.5152825316759743,20.500751495361328,77,313,69,358
