Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
Cleaned_Features_for_ML,LR,0.5238678090575275,0.528023598820059,0.8384074941451991,0.6479638009049774,0.7502095557418273,0.5138173302107728,0.2999238967895508,70,320,69,358
Cleaned_Features_for_ML,KNN,0.49571603427172584,0.5168539325842697,0.5386416861826698,0.5275229357798165,0.5341384115188109,0.5051402149762805,0.9097282886505127,175,215,197,230
Cleaned_Features_for_ML,CART,0.5116279069767442,0.53125,0.5573770491803278,0.544,0.551948051948052,0.5215306551372125,0.10743331909179688,180,210,189,238
Cleaned_Features_for_ML,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.49470065453672013,3.262937068939209,0,390,0,427
Cleaned_Features_for_ML,MLP,0.5250917992656059,0.5970149253731343,0.2810304449648712,0.3821656050955414,0.3143006809848088,0.5282831922176184,6.862926244735718,309,81,307,120
Cleaned_Features_for_ML,ABR,0.5091799265605875,0.5164556962025316,0.955503512880562,0.6705012325390304,0.8166533226581265,0.5004263496066774,3.8187084197998047,8,382,19,408
Cleaned_Features_for_ML,GBR,0.5250917992656059,0.5277382645803699,0.8688524590163934,0.6566371681415929,0.7693902944836167,0.5044076142436799,8.829042911529541,58,332,56,371
Cleaned_Features_for_ML,RFR,0.48225214198286415,0.5049019607843137,0.48243559718969553,0.4934131736526946,0.4867674858223062,0.4828769591064673,4.5230817794799805,188,202,221,206
Cleaned_Features_for_ML,ETR,0.5104039167686658,0.5269461077844312,0.6182669789227166,0.5689655172413793,0.5975554549569941,0.5034828559418724,1.7070536613464355,153,237,163,264
Cleaned_Features_for_ML,Tuned SVM,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.5042394763706239,3.150019407272339,0,390,0,427
Cleaned_Features_for_ML,Tuned Decision Tree,0.4981640146878825,0.515828677839851,0.6487119437939111,0.5746887966804979,0.6169265033407573,0.5120879120879122,0.056936025619506836,130,260,150,277
Cleaned_Features_for_ML,Bagging SVM,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.49740587281570886,21.003783464431763,0,390,0,427
Cleaned_Features_for_ML,Bagging Decision Tree,0.47368421052631576,0.4964705882352941,0.49414519906323184,0.4953051643192488,0.49460853258321613,0.4818921515642828,3.6992127895355225,176,214,216,211
Cleaned_Features_for_ML,Voting (SVM + DT),0.5006119951040392,0.5236907730673317,0.4918032786885246,0.5072463768115942,0.49786628733997157,0.49304029304029307,3.2679009437561035,199,191,217,210
Cleaned_Features_for_ML,Stacking Meta-Model,0.5152998776009792,0.5247208931419458,0.7704918032786885,0.6242884250474383,0.7044967880085653,0.5079745391220801,25.58665680885315,92,298,98,329
