Dataset,Model,Accuracy,Precision (class 1),Recall (class 1),F1-score (class 1),F2-score,ROC-AUC,Computation Time (sec),TN,FP,FN,TP
APPLE_DIRECTION_8D,LR,0.5177478580171359,0.5208070617906684,0.9672131147540983,0.6770491803278689,0.8256697321071571,0.5192397766168257,0.13126611709594727,10,380,14,413
APPLE_DIRECTION_8D,KNN,0.48714810281517745,0.5120481927710844,0.3981264637002342,0.4479578392621871,0.4166666666666667,0.47784483276286555,0.010747432708740234,228,162,257,170
APPLE_DIRECTION_8D,CART,0.48592411260709917,0.5085158150851582,0.4894613583138173,0.4988066825775656,0.4931571495988674,0.4851107908484958,0.04091191291809082,188,202,218,209
APPLE_DIRECTION_8D,SVC,0.5226438188494492,0.5226438188494492,1.0,0.6864951768488746,0.8455445544554455,0.5183150183150182,2.366060495376587,0,390,0,427
APPLE_DIRECTION_8D,MLP,0.5067319461444308,0.5226415094339623,0.6487119437939111,0.5788923719958202,0.6188561215370867,0.48501170960187345,7.647316217422485,137,253,150,277
APPLE_DIRECTION_8D,ABR,0.5238678090575275,0.5235148514851485,0.990632318501171,0.6850202429149798,0.8406200317965024,0.5065333573530295,1.9633069038391113,5,385,4,423
APPLE_DIRECTION_8D,GBR,0.5238678090575275,0.5276162790697675,0.8501170960187353,0.6511210762331838,0.7575125208681135,0.500936768149883,4.36903190612793,65,325,64,363
APPLE_DIRECTION_8D,RFR,0.5201958384332925,0.5283630470016207,0.7634660421545667,0.6245210727969349,0.7010752688172043,0.5062301086891251,3.1991827487945557,99,291,101,326
APPLE_DIRECTION_8D,ETR,0.5446756425948592,0.5442834138486312,0.7915690866510539,0.6450381679389313,0.7256333190210391,0.5163393983066115,1.2200214862823486,107,283,89,338
